id,user_id,station_id,slot_id,start_time,end_time,status,idempotency_key,created_at,updated_at
bkg-001,usr-001,stn-001,slot-001,2026-08-19 06:30:00+07,2026-08-19 07:30:00+07,COMPLETED,key-bkg-001,2026-08-19 06:00:00+07,2026-08-19 07:12:00+07
bkg-002,usr-002,stn-003,slot-009,2026-08-19 09:00:00+07,2026-08-19 11:30:00+07,IN_SESSION,key-bkg-002,2026-08-19 08:30:00+07,2026-08-19 09:05:00+07
bkg-003,usr-003,stn-002,slot-005,2026-08-19 11:00:00+07,2026-08-19 12:00:00+07,CONFIRMED,key-bkg-003,2026-08-19 08:00:00+07,2026-08-19 08:01:00+07
bkg-004,usr-004,stn-001,slot-002,2026-08-19 13:00:00+07,2026-08-19 14:00:00+07,CONFIRMED,key-bkg-004,2026-08-19 09:00:00+07,2026-08-19 09:01:00+07
bkg-005,usr-005,stn-004,slot-012,2026-08-19 10:30:00+07,2026-08-19 13:00:00+07,CONFIRMED,key-bkg-005,2026-08-19 09:15:00+07,2026-08-19 09:16:00+07
bkg-006,usr-006,stn-001,slot-004,2026-08-19 04:00:00+07,2026-08-19 05:30:00+07,COMPLETED,key-bkg-006,2026-08-19 03:30:00+07,2026-08-19 04:52:00+07
bkg-007,usr-007,stn-005,slot-014,2026-08-19 14:00:00+07,2026-08-19 15:30:00+07,CONFIRMED,key-bkg-007,2026-08-19 09:30:00+07,2026-08-19 09:31:00+07
bkg-008,usr-008,stn-002,slot-006,2026-08-19 11:30:00+07,2026-08-19 12:30:00+07,CONFIRMED,key-bkg-008,2026-08-19 09:45:00+07,2026-08-19 09:46:00+07
bkg-009,usr-009,stn-001,slot-001,2026-08-19 02:00:00+07,2026-08-19 03:30:00+07,EXPIRED_NO_SHOW,key-bkg-009,2026-08-18 23:00:00+07,2026-08-19 02:15:00+07
bkg-010,usr-010,stn-004,slot-013,2026-08-19 15:00:00+07,2026-08-19 18:00:00+07,REQUESTED,key-bkg-010,2026-08-19 09:50:00+07,2026-08-19 09:50:00+07
