id,station_id,slot_number,connector_type,max_power_kw,status,created_at,updated_at
slot-001,stn-001,1,CCS2,100.00,AVAILABLE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
slot-002,stn-001,2,CCS2,100.00,OCCUPIED,2026-06-01 07:00:00+07,2026-08-19 09:30:00+07
slot-003,stn-001,3,TYPE2,50.00,AVAILABLE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
slot-004,stn-001,4,CHADEMO,50.00,AVAILABLE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
slot-005,stn-002,1,TYPE2,50.00,AVAILABLE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
slot-006,stn-002,2,CHADEMO,100.00,AVAILABLE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
slot-007,stn-002,3,CCS2,100.00,MAINTENANCE,2026-06-01 07:00:00+07,2026-08-10 08:00:00+07
slot-008,stn-003,1,CCS2,60.00,AVAILABLE,2026-06-05 08:00:00+07,2026-06-05 08:00:00+07
slot-009,stn-003,2,TYPE2,22.00,AVAILABLE,2026-06-05 08:00:00+07,2026-06-05 08:00:00+07
slot-010,stn-003,3,CCS2,60.00,AVAILABLE,2026-06-05 08:00:00+07,2026-06-05 08:00:00+07
slot-011,stn-004,1,CCS2,100.00,AVAILABLE,2026-06-10 09:00:00+07,2026-06-10 09:00:00+07
slot-012,stn-004,2,CCS2,100.00,AVAILABLE,2026-06-10 09:00:00+07,2026-06-10 09:00:00+07
